Date,Symbol,Spot,Contract,Price,Premium,Size,Bid/Ask,Volume
"10/15/24, 01:39:55 am",QQQ,$497.19,635C 01/15/27,$25.19,"$45,342",18,$23 - $27.50,88
"10/15/24, 01:39:29 am",SPX,--,3800P 12/19/25,$42.53,"$127,590",30,$42.10 - $42.90,--
"10/15/24, 01:39:23 am",QQQ,$497.19,635C 01/15/27,$25.01,"$50,020",20,$22.57 - $27.50,70
"10/15/24, 01:39:15 am",QQQ,$497.19,635C 01/15/27,$25.08,"$95,304",38,$22.57 - $27.50,50
"10/15/24, 01:37:19 am",SPX,--,4300P 06/20/25,$38.50,"$192,500",50,$38.20 - $38.60,--
"10/15/24, 01:37:16 am",SPX,--,4300P 06/20/25,$38.50,"$96,250",25,$38.10 - $38.50,--
"10/15/24, 01:37:16 am",SPX,--,4300P 06/20/25,$38.50,"$96,250",25,$38.10 - $38.50,--
"10/15/24, 01:36:55 am",QQQ,$497.09,630C 01/15/27,$26.46,"$52,920",20,$24 - $28.87,612
"10/15/24, 01:36:50 am",QQQ,$497.14,630C 01/15/27,$26.52,"$53,040",20,$24 - $28.87,592
"10/15/24, 01:31:55 am",QQQ,$497.27,435P 09/19/25,$14.75,"$122,425",83,$14.86 - $15.23,99
"10/15/24, 01:30:48 am",QQQ,$497.50,630C 01/15/27,$26.54,"$31,848",12,$24 - $28.94,554
"10/15/24, 01:29:45 am",BABA,$107.81,100P 01/15/27,$15.16,"$69,736",46,$14.65 - $15.30,47
"10/15/24, 01:29:45 am",BABA,$107.81,100P 01/15/27,$15.16,"$71,252",47,$14.65 - $15.30,94
"10/15/24, 01:29:42 am",TSLA,$219.02,350C 01/16/26,$22.43,"$33,645",15,$22.35 - $22.60,197
"10/15/24, 01:29:41 am",PDD,$135.97,115P 04/17/25,$6.90,"$37,260",54,$6.60 - $6.90,1.694K
"10/15/24, 01:29:41 am",PDD,$135.97,115P 04/17/25,$6.90,"$40,710",59,$6.60 - $6.90,1.64K
"10/15/24, 01:29:41 am",PDD,$135.97,115P 04/17/25,$6.90,"$153,180",222,$6.60 - $6.95,1.581K
"10/15/24, 01:29:31 am",TSLA,$218.92,350C 01/16/26,$22.43,"$33,645",15,$22.35 - $22.60,182
"10/15/24, 01:29:28 am",SOFI,$10.03,7C 06/18/26,$4.75,"$33,250",70,$4.75 - $4.80,797
"10/15/24, 01:29:27 am",QQQ,$497.41,460P 06/20/25,$16.52,"$33,040",20,$16.47 - $16.57,107
"10/15/24, 01:29:19 am",TLT,$93.77,105C 09/30/25,$2.61,"$44,892",172,$2.61 - $2.61,270
"10/15/24, 01:29:13 am",SAVA,$27.46,30C 06/20/25,$14.28,"$31,416",22,$13.05 - $14.55,79
"10/15/24, 01:29:11 am",NVDA,$137.97,150C 04/17/25,$16.73,"$30,114",18,$16.64 - $16.80,289
"10/15/24, 01:29:11 am",NVDA,$137.97,150C 04/17/25,$16.73,"$31,787",19,$16.64 - $16.80,308
"10/15/24, 01:29:08 am",PDD,$136.12,90P 06/20/25,$2.99,"$34,086",114,$2.79 - $3,513
"10/15/24, 01:29:07 am",NVDA,$137.97,120C 04/17/25,$31.25,"$625,000",200,$31.20 - $31.35,497
"10/15/24, 01:29:00 am",SHOP,$83.70,95P 09/19/25,$19.70,"$29,550",15,$19.70 - $20,79
"10/15/24, 01:28:55 am",NVDA,$137.88,130C 01/16/26,$37.74,"$773,670",205,$37.60 - $37.85,1.093K
"10/15/24, 01:28:55 am",NVDA,$137.88,120C 01/16/26,$42.54,"$872,070",205,$42.45 - $42.70,422
"10/15/24, 01:28:51 am",QCOM,$178.07,170C 06/20/25,$28.21,"$28,210",10,$28 - $28.60,16
"10/15/24, 01:28:51 am",TTD,$118.06,135P 06/20/25,$25.05,"$25,050",10,$25 - $25.05,50
